#Agent	Tech	Prop	age
0	0	8809	4
0	122	66310	2
1	0	116802	4
2	0	181751	4
3	0	112048	4
4	0	131467	4
5	0	138372	4
6	0	140285	4
7	0	45579	4
7	45	87591	0
8	0	142486	4
9	0	96940	4
10	0	30443	4
11	0	4045	4
11	89	1136	2
12	0	11279	4
12	56	133596	0
13	0	51926	4
13	111	116163	2
14	0	175531	4
15	0	153403	4
16	0	128211	4
17	0	158171	4
18	0	4297	4
18	89	3961	0
19	0	165312	4
20	0	30209	4
20	78	30818	2
21	0	66327	4
22	0	136590	4
23	0	18969	4
24	0	89084	4
25	0	77122	4
26	0	7405	4
27	0	84858	4
28	0	149047	4
29	0	72076	4
30	0	799	4
30	110	9482	1
31	0	100269	4
32	0	170400	4
33	0	164921	4
33	122	5417	2
34	0	18947	4
34	89	144760	1
35	0	72753	4
35	121	103255	0
36	0	137620	4
37	0	28931	4
38	0	28632	4
39	0	104160	4
40	0	97966	4
41	0	48045	4
41	122	120614	3
42	0	4604	4
43	0	2725	4
43	122	1449	3
44	0	103108	4
45	0	1991	4
46	0	79216	4
47	0	4852	4
47	122	37492	1
48	0	10052	4
49	0	175504	4
50	0	102778	4
51	0	115029	4
52	0	47205	4
53	0	111376	4
54	0	79299	4
54	122	91477	1
55	0	48782	4
56	0	30943	4
56	78	2674	2
57	0	60253	4
58	0	181935	4
59	0	22509	4
60	0	56840	4
61	0	31868	4
62	0	56428	4
63	0	155413	4
64	0	22004	4
64	111	7675	2
65	0	174989	4
66	0	32494	4
66	89	132359	2
67	0	3723	4
68	0	55863	4
69	0	63449	4
70	0	29678	4
71	0	67213	4
72	0	132612	4
73	0	117037	4
74	0	108839	4
74	89	8104	1
75	0	20986	4
76	0	105165	4
76	122	53617	0
77	0	99783	4
78	0	185200	4
79	0	37449	4
79	78	10547	3
80	0	168034	4
81	0	167159	4
82	0	163176	4
83	0	2794	4
83	122	14655	1
84	0	85136	4
85	0	96849	4
86	0	29310	4
87	0	18019	4
87	111	16938	0
88	0	46897	4
88	67	9384	3
89	0	195878	4
90	0	37173	4
91	0	104798	4
91	111	8017	3
92	0	120865	4
93	0	34310	4
94	0	94083	4
95	0	133525	4
95	111	3137	3
96	0	94520	4
97	0	199434	4
98	0	186731	4
99	0	168000	4
100	0	124326	4
101	0	184126	4
102	0	69900	4
103	0	136383	4
104	0	55433	4
105	0	130863	4
106	0	152100	4
107	0	44633	4
107	122	141124	3
108	0	143173	4
109	0	22956	4
109	122	96233	3
110	0	147388	4
111	0	29429	4
111	122	129680	2
112	0	110738	4
113	0	22915	4
114	0	25724	4
115	0	158212	4
116	0	111403	4
116	67	14549	3
117	0	37348	4
118	0	54562	4
119	0	51110	4
120	0	167502	4
121	0	128827	4
122	0	32647	4
123	0	6671	4
123	122	29441	2
124	0	143500	4
125	0	174269	4
126	0	62662	4
127	0	165058	4
128	0	164920	4
129	0	5042	4
129	121	10991	0
130	0	52543	4
131	0	110870	4
132	0	110246	4
133	0	63948	4
133	100	97664	2
134	0	5659	4
135	0	2534	4
135	89	119691	0
136	0	79891	4
136	89	30272	0
137	0	112900	4
138	0	37904	4
139	0	83547	4
140	0	3366	4
141	0	48903	4
141	67	28086	0
142	0	111119	4
143	0	167861	4
144	0	135298	4
145	0	132152	4
146	0	32198	4
146	111	1570	3
147	0	90074	4
147	88	1103	2
148	0	77980	4
149	0	191375	4
150	0	192035	4
151	0	2002	4
152	0	45353	4
153	0	27763	4
153	56	60154	1
154	0	31294	4
154	99	66520	3
155	0	22025	4
156	0	8991	4
156	122	823	1
157	0	191542	4
158	0	75001	4
159	0	51222	4
160	0	155125	4
161	0	47710	4
162	0	178757	4
163	0	99674	4
164	0	195377	4
165	0	189407	4
166	0	152429	4
167	0	115231	4
168	0	46304	4
169	0	39436	4
170	0	59674	4
170	99	33152	0
171	0	117198	4
172	0	63427	4
172	56	5216	2
173	0	14628	4
173	99	101270	2
174	0	134223	4
175	0	107467	4
176	0	102175	4
177	0	136491	4
178	0	136192	4
179	0	13687	4
180	0	128814	4
181	0	4764	4
181	100	1650	1
182	0	25369	4
183	0	110437	4
184	0	118420	4
185	0	74344	4
186	0	1500	4
187	0	121588	4
188	0	112485	4
189	0	32309	4
190	0	85980	4
190	122	88565	3
191	0	17275	4
192	0	76949	4
192	78	36624	1
193	0	145270	4
194	0	37652	4
194	122	111936	2
195	0	18423	4
196	0	118780	4
197	0	59430	4
198	0	54482	4
199	0	115011	4
200	0	124943	4
200	56	20038	0
201	0	5502	4
202	0	163600	4
203	0	23566	4
203	56	148372	3
204	0	23710	4
204	122	21977	1
205	0	127771	4
206	0	117498	4
207	0	14569	4
208	0	131459	4
209	0	186721	4
210	0	21553	4
211	0	58010	4
212	0	27298	4
213	0	2335	4
213	67	128920	2
214	0	163921	4
215	0	73934	4
216	0	151713	4
217	0	70467	4
218	0	5928	4
218	121	290	2
219	0	30188	4
220	0	35467	4
221	0	49311	4
222	0	75455	4
223	0	21901	4
224	0	33004	4
225	0	138522	4
226	0	124194	4
227	0	158738	4
228	0	93154	4
229	0	74491	4
230	0	80129	4
230	111	5560	2
231	0	23400	4
231	111	12808	2
232	0	90479	4
233	0	80437	4
234	0	173869	4
235	0	189204	4
236	0	30938	4
237	0	168792	4
238	0	79721	4
239	0	143273	4
240	0	84683	4
241	0	52125	4
242	0	125035	4
243	0	59739	4
244	0	61269	4
245	0	66213	4
246	0	182382	4
247	0	12704	4
248	0	193976	4
249	0	147399	4
249	100	7657	2
250	0	178317	4
251	0	146805	4
252	0	80600	4
253	0	37075	4
254	0	93978	4
254	67	105313	0
