#ID	X	Y	EnergyNeed	solPot	co2	socialLobby	intCap	equity	balance	mBalance	invL	health
0	407.417904628	80.3786512919	75119	0.887000999383	4470810.0	0.0	0.128507029436	0.05	236342.417162	-57513.1438569	20	0.135896089649
1	314.447406004	74.4079549446	116802	0.98330914766	58401000.0	0.0	0.25	0.05	32704.56	8176.14	20	0.769067535382
2	149.03709348	63.5304187122	181751	0.772908129638	90875500.0	0.0	0.25	0.05	50890.28	12722.57	20	0.54431437785
3	66.568166451	96.4690473588	112048	0.800266067101	56024000.0	0.0	0.25	0.05	31373.44	7843.36	20	0.491346922428
4	296.518580356	3.03328492637	131467	0.687645485869	65733500.0	0.0	0.25	0.05	36810.76	9202.69	20	0.70083350557
5	397.643121752	92.1904069076	138372	0.987684038993	69186000.0	0.0	0.25	0.05	38744.16	9686.04	20	0.189960008417
6	217.049896665	59.619598985	140285	0.61933141315	70142500.0	0.0	0.25	0.05	39279.8	9819.95	20	0.127632587448
7	390.630840454	93.5962180031	133170	0.732835622301	66585000.0	0.0	0.143585679849	0.05	408864.365739	371576.765739	20	0.632398072775
8	211.668154605	92.2144994659	142486	0.113412636145	71243000.0	0.0	0.25	0.05	39896.08	9974.02	20	0.819705235335
9	403.573412656	13.0232486676	96940	0.928843282982	48470000.0	0.0	0.25	0.05	27143.2	6785.8	20	0.47034705011
10	368.30154783	0.154170957833	30443	0.870471813391	15221500.0	0.0	0.25	0.05	8524.04	2131.01	20	0.379870347104
11	226.631030322	72.0162787739	5181	0.258589634538	2023636.0	0.0	0.155659303449	0.05	5161.59259685	-692.702676072	20	0.607519828584
12	91.5046464774	39.4379929482	144875	0.994910827577	72437500.0	0.0	0.218720801981	0.05	811555.826983	770990.826983	20	0.85882351128
13	463.082021152	47.6522801978	168089	0.703539654737	26079163.0	0.0	0.293162665565	0.05	-26521.484414	-135361.673019	20	0.223792429762
14	461.356193355	53.5294978376	175531	0.255067210753	87765500.0	0.0	0.25	0.05	49148.68	12287.17	20	0.0457735015592
15	389.045716714	62.5514946663	153403	0.856189358197	76701500.0	0.0	0.25	0.05	42952.84	10738.21	20	0.953313283365
16	273.5803735	91.5512006778	128211	0.304425889888	64105500.0	0.0	0.25	0.05	35899.08	8974.77	20	0.991075966063
17	112.253664707	27.448577035	158171	0.267823611507	79085500.0	0.0	0.25	0.05	44287.88	11071.97	20	0.635603636384
18	233.864399552	25.3800756291	8258	0.574428707498	4129000.0	0.0	0.0881458304998	0.05	3052.6649762	740.424976198	20	0.518239693946
19	169.789625738	78.5724439045	165312	0.576515991501	82656000.0	0.0	0.25	0.05	46287.36	11571.84	20	0.700923997226
20	285.558100462	36.1392843384	61027	0.516945372083	15135318.0	0.0	0.0629975390222	0.05	-33736.3009676	-30186.4870874	20	0.757292595994
21	85.7904400829	14.2842230439	66327	0.918852893099	33163500.0	0.0	0.25	0.05	18571.56	4642.89	20	0.907584999954
22	338.452768118	99.9582728774	136590	0.252814629019	68295000.0	0.0	0.25	0.05	38245.2	9561.3	20	0.993260210545
23	165.800491132	51.8918323371	18969	0.00754095049939	9484500.0	0.0	0.25	0.05	5311.32	1327.83	20	0.196903699357
24	469.690259105	75.2512458456	89084	0.213879472431	44542000.0	0.0	0.258568761969	0.05	24943.52	6235.88	20	0.349836225827
25	316.676586226	57.9113696293	77122	0.595315544658	38561000.0	0.0	0.25	0.05	21594.16	5398.54	20	0.612470069888
26	93.7230245535	4.59062213754	7405	0.978737295976	3702500.0	0.0	0.25	0.05	2073.4	518.35	20	0.0176966169048
27	43.3398337995	56.7093442701	84858	0.089966380405	42429000.0	0.0	0.25	0.05	23760.24	5940.06	20	0.0794031651317
28	430.43713726	70.6208154501	149047	0.341746091296	74523500.0	0.0	0.25	0.05	41733.16	10433.29	20	0.705108975093
29	11.5127190033	15.8104386198	72076	0.00116138372508	36038000.0	0.0	0.25	0.05	20181.28	5045.32	20	0.400710653573
30	240.903588333	71.0389093709	10281	0.948429490177	408982.0	0.0	0.405050035728	0.05	71170.9984381	-9502.91048746	20	0.395752316532
31	98.8820759187	19.4376136929	100269	0.509255794805	50134500.0	0.0	0.162568371744	0.05	28075.32	7018.83	20	0.0914010555552
32	306.572809671	40.5704269116	170400	0.902936359351	85200000.0	0.0	0.25	0.05	47712.0	11928.0	20	0.339586927865
33	258.092685276	37.4597513623	170338	0.0395508113454	82465917.0	0.0	0.950566610613	0.05	239251.32848	4717.61764614	20	0.730545375904
34	145.280767866	87.3216465556	163707	0.968862119706	9618260.0	0.0	0.427696666998	0.05	1439600.25434	-145760.300996	20	0.781088761192
35	101.95442507	82.0295691215	176008	0.601567469844	88004000.0	0.0	0.187215157939	0.05	322249.428882	272967.188882	20	0.59515927025
36	449.009021515	30.5328855243	137620	0.0933337266937	68810000.0	0.0	0.25	0.05	38533.6	9633.4	20	0.498914923896
37	302.898639264	1.6095540409	28931	0.868905433155	14465500.0	0.0	0.25	0.05	8100.68	2025.17	20	0.569764918906
38	296.462608769	92.961281885	28632	0.472985270472	14316000.0	0.0	0.25	0.05	8016.96	2004.24	20	0.157761792662
39	163.015360782	39.2645637285	104160	0.290052910355	52080000.0	0.0	0.25	0.05	29164.8	7291.2	20	0.710045267214
40	466.706118275	74.3815059772	97966	0.366526988537	48983000.0	0.0	0.25	0.05	27430.48	6857.62	20	0.618621154782
41	274.34515242	88.7665423616	168659	0.783977012881	24143114.0	0.0	0.203725122976	0.05	674874.416527	-106605.264259	20	0.514969770103
42	148.934816039	28.7949245296	4604	0.801964179078	2302000.0	0.0	0.25	0.05	1289.12	322.28	20	0.136187229049
43	144.132256697	40.9647378557	4174	0.347429272529	1363949.0	0.0	0.27860942945	0.05	12897.3954423	-1180.99569619	20	0.337618278061
44	152.440805129	28.449544546	103108	0.965442893912	51554000.0	0.0	0.25	0.05	28870.24	7217.56	20	0.223821300854
45	452.719560804	43.6667297627	1991	0.40284090654	995500.0	0.0	0.25	0.05	557.48	139.37	20	0.301757626574
46	441.935161599	48.143148999	79216	0.0867702798147	39608000.0	0.0	0.25	0.05	22180.48	5545.12	20	0.231544442601
47	74.0451227848	14.220958835	42344	0.948456507014	2463492.0	0.0	0.137155505114	0.05	181903.071951	-32678.5359589	20	0.701800124927
48	384.936083425	64.4787619522	10052	0.356759798309	5026000.0	0.0	0.25	0.05	2814.56	703.64	20	0.564859717124
49	345.979246322	56.9239736504	175504	0.594039141062	87752000.0	0.0	0.25	0.05	49141.12	12285.28	20	0.891292153764
50	121.978046529	5.38414485592	102778	0.0414184671483	51389000.0	0.0	0.25	0.05	28777.84	7194.46	20	0.86273541975
51	491.796384968	65.611414993	115029	0.687092183631	57514500.0	0.0	0.341473293727	0.05	32208.12	8052.03	20	0.345783018143
52	380.847131201	36.7038364788	47205	0.549583815938	23602500.0	0.0	0.25	0.05	13217.4	3304.35	20	0.604217364006
53	295.700341084	25.1097551595	111376	0.11449359219	55688000.0	0.0	0.25	0.05	31185.28	7796.32	20	0.193680492587
54	119.779672394	34.3852741031	170776	0.704099605253	39740977.0	0.0	0.0933196251548	0.05	304187.900981	-73139.0330301	20	0.591625772582
55	462.639068428	59.6866080021	48782	0.717557579445	24391000.0	0.0	0.25	0.05	13658.96	3414.74	20	0.863904312502
56	311.469048936	56.9420635785	33617	0.0831709207469	15474174.0	0.0	0.127118829654	0.05	3295.26151721	-880.983226315	20	0.7130514809
57	444.680325254	64.7873285619	60253	0.432818085208	30126500.0	0.0	0.25	0.05	16870.84	4217.71	20	0.631176059122
58	498.760268743	61.981947043	181935	0.128234385974	90967500.0	0.0	0.25	0.05	50941.8	12735.45	20	0.936763276801
59	182.704155231	97.3553755297	22509	0.822842251867	11254500.0	0.0	0.871617029192	0.05	6302.52	1575.63	20	0.0219582679314
60	169.532116308	26.5102013875	56840	0.189258761722	28420000.0	0.0	0.25	0.05	15915.2	3978.8	20	0.0814065917151
61	314.49539849	73.8155980424	31868	0.262717155815	15934000.0	0.0	0.25	0.05	8923.04	2230.76	20	0.626390777173
62	28.1964575446	70.9240941794	56428	0.563622341744	28214000.0	0.0	0.25	0.05	15799.84	3949.96	20	0.342275698687
63	17.6706794657	48.3111562127	155413	0.653877221052	77706500.0	0.0	0.25	0.05	43515.64	10878.91	20	0.242416138731
64	20.9293998771	22.995013338	29679	0.297957814499	11009675.0	0.0	0.0802946439855	0.05	-11711.7395319	-8028.14744586	20	0.215616183848
65	348.709549663	19.5445093904	174989	0.954978516524	87494500.0	0.0	0.25	0.05	48996.92	12249.23	20	0.713105421123
66	323.045318203	5.18707924493	164853	0.826492782404	16379359.0	0.0	0.470319015934	0.05	1391647.21257	-132876.58114	20	0.708800675562
67	55.622599581	22.7229453377	3723	0.640357456891	1861500.0	0.0	0.25	0.05	1042.44	260.61	20	0.833437166625
68	150.105586835	82.6634111225	55863	0.201435816266	27931500.0	0.0	0.25	0.05	15641.64	3910.41	20	0.805028093399
69	283.274147113	9.39586481522	63449	0.688631203466	31724500.0	0.0	0.25	0.05	17765.72	4441.43	20	0.586409676155
70	452.410471321	10.1323130245	29678	0.636038895813	14839000.0	0.0	0.25	0.05	8309.84	2077.46	20	0.047258482421
