#ID	Eff	Starttime	decay	cost	tCost	pCost	rate	loanLength	duration	co2	solarBased	policy	X	Y	conversion
0	1.0	0	0.0	0.07	0.0	0.0	0.0	0	0	500.0	0	0	0.0	0.0	100.0
1	1.0	0	0.0	0.01	0.003	4000.0	0.04	120	50	1.0	0	1	443.0	36.0	100.0
2	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	2	0.0	0.0	100.0
3	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	3	0.0	0.0	100.0
4	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	4	0.0	0.0	100.0
5	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	5	0.0	0.0	100.0
6	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	6	0.0	0.0	100.0
7	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	7	0.0	0.0	100.0
8	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	8	0.0	0.0	100.0
9	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	9	0.0	0.0	100.0
10	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	10	0.0	0.0	100.0
11	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	11	0.0	0.0	100.0
12	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	12	0.0	0.0	100.0
13	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	13	0.0	0.0	100.0
14	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	14	0.0	0.0	100.0
15	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	15	0.0	0.0	100.0
16	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	16	0.0	0.0	100.0
17	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	17	0.0	0.0	100.0
18	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	18	0.0	0.0	100.0
19	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	19	0.0	0.0	100.0
20	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	20	0.0	0.0	100.0
21	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	21	0.0	0.0	100.0
22	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	22	0.0	0.0	100.0
23	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	23	0.0	0.0	100.0
24	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	24	0.0	0.0	100.0
25	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	25	0.0	0.0	100.0
26	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	26	0.0	0.0	100.0
27	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	27	0.0	0.0	100.0
28	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	28	0.0	0.0	100.0
29	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	29	0.0	0.0	100.0
30	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	30	0.0	0.0	100.0
31	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	31	0.0	0.0	100.0
32	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	32	0.0	0.0	100.0
33	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	33	0.0	0.0	100.0
34	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	34	0.0	0.0	100.0
35	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	35	0.0	0.0	100.0
36	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	36	0.0	0.0	100.0
37	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	37	0.0	0.0	100.0
38	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	38	0.0	0.0	100.0
39	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	39	0.0	0.0	100.0
40	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	40	0.0	0.0	100.0
41	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	41	0.0	0.0	100.0
42	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	42	0.0	0.0	100.0
43	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	43	0.0	0.0	100.0
44	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	44	0.0	0.0	100.0
45	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	45	0.0	0.0	100.0
46	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	46	0.0	0.0	100.0
47	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	47	0.0	0.0	100.0
